"RID","age","gender","BMI","exer","logMedInc","A_1","A_10","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","C_1","C_10","C_2","C_3","C_4","C_5","C_6","C_7","C_8","C_9","E_1","E_10","E_2","E_3","E_4","E_5","E_6","E_7","E_8","E_9","N_1","N_10","N_2","N_3","N_4","N_5","N_6","N_7","N_8","N_9","O_1","O_10"
47328249,17,"female",22.96,"1or2wk",10.7628269079601,6,4,5.32167962183112,4.81711288315664,5,5,2.31232548447844,6,4.16393943851786,3.02965577620589,5.4571339500577,4.69129040102058,4.47985651722522,5.51589656724574,4.65498770766273,4.57349413622092,4.73595732074674,6,4.92902769311849,3.09191151082768,4.00300512102034,4.93420491562032,4.03503191805058,2.99222680946356,4.26699668379647,3.97179179436937,3.99245077343617,3.20189015130932,2.57193801319751,2.62429434023624,2.12333526906318,2.54104452514144,2.32362541238151,3.34796175471781,4.29088756096523,2.20926536585795,1.91859398776587,2.52983124680106,1.69984463191761,3.50241673846584,5.39252313089936,5.73762388511599
51154309,30,"female",17.14,"1or2wk",11.7127185026762,6.36834102358748,3,5.21501071386344,5.60564270719324,4.76541331204472,4.68693042345764,5.48581427835104,2,4.69302466180992,5.09433068038165,1.62106853036536,3.02236928676215,5,5,3.97955780559416,6.1205841496438,6.06671938731126,5.19344635102699,5.10577294453117,7.13705777256444,4.9046886318609,6,4.97368958605629,5,3.6877083089529,5.59326922913211,6.17175983562674,3.62486139803347,3.18929104294286,3.78967240773979,2.8701778520348,1.9166208193724,3.22809221268639,3.12898384114959,4.708168379066,3.15925707311292,5,4.03581384340409,3.45067251752546,3.72946395851019,3.78220824502873,6
51178957,57,"female",22.67,"1or2wk",11.7078670531203,3.79172780076711,5,4.40375758482181,5.62512770566905,2.95241377153827,4.24258514514145,4.56068710098603,4.80792838346475,3.92585232857295,4.03278620360847,4.69205689939707,2.42931911804458,1.91007393215073,2.08585296789534,3.59552743924671,5.37475614246963,5.55276621240811,3.86533418955569,4.55044915425888,4.29235860014459,2.08355200945106,3.58754310884587,3,1.79896218494077,2.75670872782299,2.57315642409945,2.33727171260459,2.85151121550224,0.310060562602311,2.80059506207184,4.25063333070195,4.12681595265686,4.30179499599596,5.68051325309576,5.38198388294031,4,4.18915578457878,5,5.08561259442378,6.14882724563531,3.85843684107499,3.78438412803958
51964599,36,"male",31.62,"less1wk",10.2179332622571,5.39040124391655,4.68848927036703,4.62996236224125,7.36864866427556,6,7.64489803819838,6.82218485019901,4.91829815057541,5.39452780202041,2.38157484343868,2.94740266990592,2,6.47585895542206,3.31874978948288,4.78553998095158,5.08782132243149,4,3.65596240244189,3.94572408273697,3.43437692888372,4.68840724272977,7.16812781556066,6,6,4.44280026449378,5.77567025717199,7.12484445913922,4.40791180952712,3.87518749737041,6.96649763831394,1.87697591769789,3.90343672715818,1.89336268747395,2.74716034156382,5.60737480054187,4.05876639136841,3.39808528787062,4.97645821774148,2.9720460794985,2.59863689732086,6.44482033412307,6.64222106442458
53285550,19,"female",30.8,"less1wk",10.7743414914017,6,6,4,3,6,5.17658597126951,5.54196032872122,3.59720948814009,3.71973289062369,4,4,3,4.11823010457036,4.83390767506384,6,4,4.81796798862275,6.50032520957864,3,4,2.49070048005672,3.80239788241913,3,1.80160947226687,2.72205394007548,4.663125115898,1.77313632207007,3,2.4875009272885,1.83744698094126,3.45079913269794,3,3,0.786480513563153,5.40835601762758,3,1,3.55175779359174,2.54046547628049,1.65218915448777,6,6
57621103,61,"female",42.56,"more5wk",10.684714289379,3.73659278351143,3.15154709756429,4.64660576148381,4.65019006187197,4.87975437650354,6,2.70729253084699,0.52870717746616,5.76128366007928,4.09870218801624,4.57399016658236,3.04324097537958,3.70156528137752,4.64052091576355,3.87992333323787,3.36317461789859,3.10331714258787,7.20538067150305,3.75640207889697,3.67172048782756,5.63836502503817,5.53725245472088,7.34894095763776,4.23888210757071,6.07561679366661,4.38377816967603,4.92513512781557,6.22104632528402,3.37551637799117,4.61236051842176,1.02398072546609,3.08662584043425,1.29479371010878,0.35712571905767,3.04846302816559,2.21420354778022,1.88888000965658,1.79598778720001,0.820171022327345,2.6739491297241,4.09271065214231,5.9195505758921
58202953,39,"female",20.01,"3or5wk",11.490638955391,6.19826413731263,1.81085112300493,5,7.22687170561687,4.6661434103026,7.05556858948235,4.06812120141706,7.06203088601294,3.77861091101057,6,1.77135846329554,3.2851715093519,2.52536589757097,3.77227667487028,4.12404419519256,6,5.1804554508604,5.73888330276833,3.24735360078304,4.61847602050507,4.59359155820604,4.23483382494883,1.88903543248432,2.31609377083618,1.36678144937833,4.60427612231802,3.4873871374377,3.03008902789185,0.258226413300002,3.76887654858343,3.14689712705217,0.825631671807111,4.53647075330949,2,5.05538620641232,3.3663618774773,3.22796585246009,4.99726383989682,3.42013178992146,5,4.89755975507135,3.80823814016874
70819674,34,"female",23.79,"3or5wk",10.5548487324045,4.60309279305853,6,3.93845537838633,5.57364965635244,2.41893103115031,4.17435372042542,7.35528290543941,3.80798265668273,5.07684477270036,5.17738514601463,5.99019542800899,4.85644131215008,5.06532663852146,3.76990245702104,2.9206178589141,5.74753796695967,4.5628448725169,5.10452561597321,4.38924764341689,6,3.05981942632293,4,2.57109924011078,1.09497541425034,2.75310651354198,2.86887635686681,3.38997310078855,2.87885220270506,2.69342891281972,2.19528256478914,3.29118876247505,2.00519001427931,2.55126095368097,3.53948465391662,5,1.95382297170427,3.35660842675429,3.30969427361831,1.76077849714879,4.22398374478443,3.96375826516492,3.63303798702042
71710673,81,"male",24.71,"1or2wk",11.7004998680456,5.011438650435,4.9470210324514,4.73768998061219,4.26042913243981,5,4.68230978443253,4.88154613722681,2.4019793055758,6.32692709164226,2.22217667097965,5.49555282920257,4.52442069572682,4.44551651920643,4.16583109722564,5.43953168648105,5.06047661537131,5.49698761475678,5,5.27332363205041,3.67702845315316,3.642446099108,3.13728900593722,3.54332468789301,2.712622700607,2.25061488366884,4.08926994377662,2.81581027491481,3.73660915015299,0.572040836071943,4.3854835619597,2.26765820932258,3.71991149012812,2.66093881735045,3.52348431546436,5.00153990521811,2,2.47308580737787,4.7264399674917,2.43731646780454,5,6.3353833192785,4.98036023055678
73064569,24,"male",30.55,"more5wk",11.8202630950805,5.665740462007,4,6,5.11109433771306,6.12710650513729,6,6,5.71866619416603,6,6,1,3.66807488681599,4.3930341401739,2.39257534146724,3.77039058947287,3.75742135003988,4.86044464319982,6,5.77718632444025,4,5.32874728947365,6,6,5.6435174653004,5.74000787231311,5.9877233171521,6,6,3.73370882102314,5,6,1,1,0.936742590163699,5.24297724020233,1.68057966823651,4.38561812402573,3.13661432674453,2.9604897093547,1.45210503223718,7.65632340549114,3.45804835482335
74175783,27,"male",19.39,"3or5wk",10.4669530636263,5.43838705348007,5,5.62685526372834,6.68300886520362,5.6371336499881,6.84680451780316,7.02820800794751,5,5.4174321407414,4.09257624414327,2.36911860977638,3,6.10786314194598,3.62696666955888,4.53757793313239,3.94765002731694,4.80705547741239,4.13280494874393,3.89611371181174,2.96871508721841,5.08805520403504,3.76808054861646,4.4830527598406,4,4.49562957911238,4.88153712769761,3.13688183758806,2.6503680741667,3.41156105367321,4.7103631176256,1.91390148048865,1.10009530212368,1.21074308080391,2.36722049169852,4.47251151274078,0.572376714134783,3.43704494268408,4.54817333084454,2,3.57229558775509,5.84336299153308,5.62974986437988
74205007,22,"female",17.97,"1or2wk",10.9350336838396,5.52474919046984,2.97016209146657,4,5.6177839817266,3.9711653210441,3.08150492339019,5.07082330984132,6,5.02637737123998,5,-0.197946607376099,-1.51609021417551,-1.20217593709893,0.365331943215359,0.608066392055596,2.73037637020692,3.68324090895933,2.842659304694,0.392589878684801,2,2.26971666799974,0.479373558492961,2.14363239445056,2.61336590190033,-0.0828808477940357,2.22037166229679,3.3984357190429,3.22211461193639,1.27476720863631,1.4004580951045,3.04445077732829,6.51239152851407,6.0269151905592,6.14363204123536,7.63121165333735,4.31894747890221,4.39326635072757,6.12258842527913,4.23209326379609,3,1.90734983726703,1.97575226298549
74987507,22,"male",19.39,"1or2wk",10.8487738212515,2.76300636559697,4.51825842202524,3.48145590097882,4.99813797659706,5.2255263092958,4.85120950361217,4.56307306232789,5.67778294934412,4.01959303748096,3.25696192210623,4.41233930546568,4.58567463960722,6.21218580593512,6.16793931851523,4.40144402986642,4.99064166437009,4.77446596133939,6.95533330939162,5.81264578952933,4,4.40716707232111,4.12351396150075,4,4.6312028534486,6.56468952069267,3.92511086475242,4.68655560407583,1.73681191269641,2.83581491634213,3.6786218313699,0.844554851821327,2.63530067517338,0.930750830658954,1,4.21039181075705,1.20601685067436,1.54007769806443,3.34430101400389,2.75128109265254,-0.316225986303624,5,2.55444834112499
76848945,38,"female",43.04,"less1wk",11.1008133141403,3.93161153603258,5.11319889247913,5.22600837253922,3.61035940192274,3.7907967113702,3.50956059813009,5,2.04739191554724,2.95321762940851,3.57327740725491,3.07021109482505,4.05605268080502,3.93682368678428,3.74434279586211,5.42673978957808,4.63959258663797,5.11097638096548,4.85744802732805,4.13000455735389,5.77476553479649,3.08040388786664,3.62083225246966,2.28076147997012,3.01039285995528,2.33565638566115,4,2.53576165686437,3.43908838785835,2.94507537686355,3.78019998279313,3.55889781070252,5.44967712272716,3.26577456570705,3.97876105685861,4.28754129026802,3.52161971007088,3.44152197380251,3.97025961538759,2.8838823237048,5.32582208808627,5.17845133578028,3.81114516245984
77051313,15,"male",23.08,"3or5wk",10.5966347330961,5.05888229647034,3.87135583947688,5.13234068294384,4.28592166397798,4.9270108668776,5.84639369758807,6,4.16776168256421,5.5560921860923,6.43347308017943,1.62781932096058,4.38465848499238,1.26572053507572,3,3.32570481785131,4.7146560783674,4.64115709383121,3.87349416707477,4.87388681687451,4.63961491253511,5.51741782574382,6.17963526603073,3.86391774606934,4.12556071242749,4.16269167770487,5.52780793528732,6.02691662445059,4.12036859508487,5.93379584320444,4.46400065324275,2.73811180766623,1.64199323621704,2.88148577588121,1.73643535701638,3.72951452203082,2.87553732724695,1.93677112194186,4.18668701104021,4.59784246773449,3.03129496513206,4.5152311481286,2.8687168096702
